AtomicNumber,Element,Symbol,AtomicMass,Density
1,Hydrogen,H,1.007,8.99E-05
2,Helium,He,4.002,1.79E-04
3,Lithium,Li,6.941,5.34E-01
4,Beryllium,Be,9.012,1.85E+00
5,Boron,B,10.811,2.34E+00
6,Carbon,C,12.011,2.27E+00
7,Nitrogen,N,14.007,1.25E-03
8,Oxygen,O,15.999,1.43E-03
9,Fluorine,F,18.998,1.70E-03
10,Neon,Ne,20.18,9.00E-04
11,Sodium,Na,22.99,9.71E-01
12,Magnesium,Mg,24.305,1.74E+00
13,Aluminum,Al,26.982,2.70E+00
14,Silicon,Si,28.086,2.33E+00
15,Phosphorus,P,30.974,1.82E+00
16,Sulfur,S,32.065,2.07E+00
17,Chlorine,Cl,35.453,3.21E-03
18,Argon,Ar,39.948,1.78E-03
19,Potassium,K,39.098,8.62E-01
20,Calcium,Ca,40.078,1.55E+00
21,Scandium,Sc,44.956,2.99E+00
22,Titanium,Ti,47.867,4.54E+00
23,Vanadium,V,50.942,6.11E+00
24,Chromium,Cr,51.996,7.15E+00
25,Manganese,Mn,54.938,7.44E+00
26,Iron,Fe,55.845,7.87E+00
27,Cobalt,Co,58.933,8.86E+00
28,Nickel,Ni,58.693,8.91E+00
29,Copper,Cu,63.546,8.96E+00
30,Zinc,Zn,65.38,7.13E+00
31,Gallium,Ga,69.723,5.91E+00
32,Germanium,Ge,72.64,5.32E+00
33,Arsenic,As,74.922,5.78E+00
34,Selenium,Se,78.96,4.81E+00
35,Bromine,Br,79.904,3.12E+00
36,Krypton,Kr,83.798,3.73E-03
37,Rubidium,Rb,85.468,1.53E+00
38,Strontium,Sr,87.62,2.64E+00
39,Yttrium,Y,88.906,4.47E+00
40,Zirconium,Zr,91.224,6.51E+00
41,Niobium,Nb,92.906,8.57E+00
42,Molybdenum,Mo,95.96,1.02E+01
43,Technetium,Tc,98,1.15E+01
44,Ruthenium,Ru,101.07,1.24E+01
45,Rhodium,Rh,102.906,1.24E+01
46,Palladium,Pd,106.42,1.20E+01
47,Silver,Ag,107.868,1.05E+01
48,Cadmium,Cd,112.411,8.69E+00
49,Indium,In,114.818,7.31E+00
50,Tin,Sn,118.71,7.29E+00
51,Antimony,Sb,121.76,6.69E+00
52,Tellurium,Te,127.6,6.23E+00
53,Iodine,I,126.904,4.93E+00
54,Xenon,Xe,131.293,5.89E-03
55,Cesium,Cs,132.905,1.87E+00
56,Barium,Ba,137.327,3.59E+00
57,Lanthanum,La,138.905,6.15E+00
58,Cerium,Ce,140.116,6.77E+00
59,Praseodymium,Pr,140.908,6.77E+00
60,Neodymium,Nd,144.242,7.01E+00
61,Promethium,Pm,145,7.26E+00
62,Samarium,Sm,150.36,7.52E+00
63,Europium,Eu,151.964,5.24E+00
64,Gadolinium,Gd,157.25,7.90E+00
65,Terbium,Tb,158.925,8.23E+00
66,Dysprosium,Dy,162.5,8.55E+00
67,Holmium,Ho,164.93,8.80E+00
68,Erbium,Er,167.259,9.07E+00
69,Thulium,Tm,168.934,9.32E+00
70,Ytterbium,Yb,173.054,6.97E+00
71,Lutetium,Lu,174.967,9.84E+00
72,Hafnium,Hf,178.49,1.33E+01
73,Tantalum,Ta,180.948,1.67E+01
74,Wolfram,W,183.84,1.93E+01
75,Rhenium,Re,186.207,2.10E+01
76,Osmium,Os,190.23,2.26E+01
77,Iridium,Ir,192.217,2.26E+01
78,Platinum,Pt,195.084,2.15E+01
79,Gold,Au,196.967,1.93E+01
80,Mercury,Hg,200.59,1.35E+01
81,Thallium,Tl,204.383,1.19E+01
82,Lead,Pb,207.2,1.13E+01
83,Bismuth,Bi,208.98,9.81E+00
84,Polonium,Po,210,9.32E+00
85,Astatine,At,210,7.00E+00
86,Radon,Rn,222,9.73E-03
87,Francium,Fr,223,1.87E+00
88,Radium,Ra,226,5.50E+00
89,Actinium,Ac,227,1.01E+01
90,Thorium,Th,232.038,1.17E+01
91,Protactinium,Pa,231.036,1.54E+01
92,Uranium,U,238.029,1.90E+01
93,Neptunium,Np,237,2.05E+01
94,Plutonium,Pu,244,1.98E+01
95,Americium,Am,243,1.37E+01
96,Curium,Cm,247,1.35E+01
97,Berkelium,Bk,247,1.48E+01
98,Californium,Cf,251,1.51E+01
99,Einsteinium,Es,252,1.35E+01
100,Fermium,Fm,257,
101,Mendelevium,Md,258,
102,Nobelium,No,259,
103,Lawrencium,Lr,262,
104,Rutherfordium,Rf,261,1.81E+01
105,Dubnium,Db,262,3.90E+01
106,Seaborgium,Sg,266,3.50E+01
107,Bohrium,Bh,264,3.70E+01
108,Hassium,Hs,267,4.10E+01
109,Meitnerium,Mt,268,3.50E+01
110,Darmstadtium ,Ds ,271,
111,Roentgenium ,Rg ,272,
112,Copernicium ,Cn ,285,
113,Nihonium,Nh,284,
114,Flerovium,Fl,289,
115,Moscovium,Mc,288,
116,Livermorium,Lv,292,
117,Tennessine,Ts,295,
118,Oganesson,Og,294,
